""	"PARTID"	"order"	"item"	"CODE.E"	"CODE"	"CODE.H"	"CODE.S"
"106"	"atoe014"	1	"ånder"	"concepts"	"concepts"	"concepts"	"concepts"
"107"	"sh008"	2	"aander"	"concepts"	"concepts"	"concepts"	"concepts"
"108"	"sh009"	4	"aander"	"concepts"	"concepts"	"concepts"	"concepts"
"109"	"mgs008"	1	"aander"	"concepts"	"concepts"	"concepts"	"concepts"
"110"	"atoe007"	1	"åndeskabninger"	"concepts"	"concepts"	"concepts"	"concepts"
"111"	"rse008"	4	"accept"	"feelings"	"feelings"	"feelings"	"feelings"
"112"	"sh006"	5	"afslappet"	"feelings"	"feelings"	"feelings"	"feelings"
"113"	"rse004"	2	"balance"	"feelings"	"feelings"	"meaning"	"feelings"
"114"	"mgs006"	2	"emotionelt"	"feelings"	"feelings"	"feelings"	"feelings"
"115"	"hkp009"	4	"foelelse"	"feelings"	"feelings"	"feelings"	"feelings"
"116"	"evj003"	5	"følelser"	"feelings"	"feelings"	"feelings"	"feelings"
"117"	"mgs016"	4	"glaede"	"feelings"	"feelings"	"feelings"	"feelings"
"118"	"hkp004"	4	"ro"	"feelings"	"feelings"	"ritual"	"feelings"
"119"	"hkp007"	3	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"120"	"atoe004"	4	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"121"	"rse004"	1	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"122"	"rse008"	1	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"123"	"mgs021"	5	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"124"	"mgs022"	3	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"125"	"mgs015"	3	"ro"	"feelings"	"feelings"	"feelings"	"feelings"
"126"	"hkp006"	4	"spaendende"	"feelings"	"feelings"	"objects"	"characteristics"
"127"	"sh001"	3	"tanker"	"feelings"	"feelings"	"institution"	"concepts"
"128"	"sh003"	4	"tillid"	"feelings"	"feelings"	"objects"	"feelings"
"129"	"mgs015"	5	"aabent"	"feelings"	"feelings"	"feelings"	"characteristics"
"130"	"atoe010"	4	"buddha"	"god"	"god"	"god"	"belief"
"131"	"evj002"	4	"alternativer"	"misc"	"individual"	"beliefs"	"characteristics"
"132"	"hkp008"	2	"alternativt"	"misc"	"individual"	"beliefs"	"characteristics"
"133"	"mgs002"	3	"i sig selv"	"feelings"	"individual"	"individual"	"individual"
"134"	"rse001"	5	"individ"	"individual"	"individual"	"individual"	"individual"
"135"	"mgs020"	4	"individ"	"individual"	"individual"	"individual"	"individual"
"136"	"sh011"	3	"individualiserende"	"individual"	"individual"	"individual"	"individual"
"137"	"sh007"	3	"individualisme"	"individual"	"individual"	"individual"	"individual"
"138"	"mgs006"	1	"indivudelt"	"individual"	"individual"	"institution"	"individual"
"139"	"atoe010"	5	"indre"	"feelings"	"individual"	"beliefs"	"individual"
"140"	"rse008"	3	"kropsbevidsthed"	"meaning"	"individual"	"objects"	"concepts"
"141"	"hkp004"	3	"selvudvikling"	"meaning"	"individual"	"objects"	"characteristics"
"142"	"hkp008"	4	"buddhisme"	"institution"	"institution"	"institution"	"belief"
"143"	"mgs001"	3	"buddhisme"	"institution"	"institution"	"institution"	"belief"
"144"	"mgs004"	1	"buddhisme"	"institution"	"institution"	"institution"	"belief"
"145"	"rse005"	1	"hinduisme"	"institution"	"institution"	"institution"	"belief"
"146"	"mgs001"	4	"newage"	"institution"	"institution"	"concepts"	"belief"
"147"	"atoe004"	1	"Religion"	"institution"	"institution"	"beliefs"	"belief"
"148"	"mgs004"	3	"religion"	"institution"	"institution"	"institution"	"belief"
"149"	"sh007"	1	"synkretisme"	"misc"	"institution"	"objects"	"concepts"
"150"	"sh008"	1	"videnskab"	"misc"	"institution"	"beliefs"	"concepts"
"151"	"sh009"	3	"videnskab"	"misc"	"institution"	"beliefs"	"concepts"
"152"	"rse004"	4	"forbundethed"	"meaning"	"meaning"	"community"	"feelings"
"153"	"rse008"	2	"forbundethed"	"meaning"	"meaning"	"community"	"feelings"
"154"	"rse004"	3	"forståelse"	"meaning"	"meaning"	"beliefs"	"feelings"
"155"	"atoe004"	5	"fred"	"feelings"	"meaning"	"meaning"	"feelings"
"156"	"sh008"	3	"fred"	"feelings"	"meaning"	"meaning"	"feelings"
"157"	"hkp009"	3	"haab"	"meaning"	"meaning"	"beliefs"	"feelings"
"158"	"evj003"	4	"håb"	"meaning"	"meaning"	"beliefs"	"feelings"
"159"	"sh008"	4	"haab"	"meaning"	"meaning"	"beliefs"	"feelings"
"160"	"mgs005"	5	"haab"	"meaning"	"meaning"	"beliefs"	"feelings"
"161"	"mgs002"	4	"mening"	"meaning"	"meaning"	"characteristics"	"meaning"
"162"	"sh005"	2	"mening med livet"	"meaning"	"meaning"	"characteristics"	"meaning"
"163"	"sh005"	3	"troest"	"meaning"	"meaning"	"beliefs"	"belief"
"164"	"mgs019"	4	"vel i livet"	"meaning"	"meaning"	"meaning"	"meaning"
"165"	"hkp006"	2	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"166"	"hkp007"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"167"	"hkp008"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"168"	"evj005"	5	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"169"	"atoe006"	4	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"170"	"rse006"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"171"	"atoe010"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"172"	"atoe013"	2	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"173"	"atoe014"	3	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"174"	"sh001"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"175"	"sh009"	5	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"176"	"sh010"	3	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"177"	"sh013"	2	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"178"	"sh015"	2	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"179"	"mgs002"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"180"	"mgs007"	1	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"181"	"mgs016"	2	"meditation"	"meditation"	"meditation"	"meditation"	"meditation"
"182"	"mgs017"	2	"meditation"	"meditation"	"meditation"	"meaning"	"meditation"
"183"	"mgs021"	4	"meditation"	"meditation"	"meditation"	"meaning"	"meditation"
"184"	"rse002"	1	"ikke besvaret"	NA	NA	"negative"	NA
"185"	"atoe008"	1	"ikke besvaret"	NA	NA	"individual"	NA
"186"	"sh004"	4	NA	NA	NA	"missing"	NA
"187"	"sh004"	5	NA	NA	NA	"missing"	NA
"188"	"sh005"	4	NA	NA	NA	"missing"	NA
"189"	"sh005"	5	NA	NA	NA	"missing"	NA
"190"	"sh008"	5	NA	NA	NA	"missing"	NA
"191"	"sh010"	4	NA	NA	NA	"missing"	NA
"192"	"sh010"	5	NA	NA	NA	"missing"	NA
"193"	"sh011"	4	NA	NA	NA	"missing"	NA
"194"	"sh011"	5	NA	NA	NA	"missing"	NA
"195"	"sh012"	3	NA	NA	NA	"missing"	NA
"196"	"sh012"	4	NA	NA	NA	"missing"	NA
"197"	"sh012"	5	NA	NA	NA	"missing"	NA
"198"	"sh013"	5	NA	NA	NA	"missing"	NA
"199"	"sh014"	2	NA	NA	NA	"missing"	NA
"200"	"sh014"	3	NA	NA	NA	"missing"	NA
"201"	"sh014"	4	NA	NA	NA	"missing"	NA
"202"	"sh014"	5	NA	NA	NA	"missing"	NA
"203"	"mgs006"	5	NA	NA	NA	"missing"	NA
"204"	"mgs010"	5	NA	NA	NA	"missing"	NA
"205"	"mgs011"	1	NA	NA	NA	"missing"	NA
"206"	"mgs011"	2	NA	NA	NA	"missing"	NA
"207"	"mgs011"	3	NA	NA	NA	"missing"	NA
"208"	"mgs011"	4	NA	NA	NA	"missing"	NA
"209"	"mgs011"	5	NA	NA	NA	"missing"	NA
"210"	"mgs013"	5	NA	NA	NA	"missing"	NA
"211"	"mgs014"	5	NA	NA	NA	"missing"	NA
"212"	"mgs018"	3	NA	NA	NA	"missing"	NA
"213"	"mgs018"	4	NA	NA	NA	"missing"	NA
"214"	"mgs018"	5	NA	NA	NA	"missing"	NA
"215"	"ateo002"	1	"Ved ikke hvad det er"	NA	NA	"objects"	NA
"216"	"mgs003"	2	"bedragende"	"negative"	"negative"	"negative"	"negative"
"217"	"mgs013"	4	"dumhed"	"negative"	"negative"	"negative"	"negative"
"218"	"mgs008"	5	"flyvsk"	"characteristics"	"negative"	"feelings"	"negative"
"219"	"mgs003"	5	"forvirrende"	"negative"	"negative"	"negative"	"negative"
"220"	"mgs003"	1	"fup"	"negative"	"negative"	"negative"	"negative"
"221"	"atoe011"	1	"halvskøre"	"negative"	"negative"	"negative"	"negative"
"222"	"sh012"	1	"hokus pokus"	"negative"	"negative"	"negative"	"negative"
"223"	"hkp003"	2	"ikke virkeligt"	"negative"	"negative"	"individual"	"negative"
"224"	"atoe001"	4	"midtlivskrise"	"negative"	"negative"	"beliefs"	"negative"
"225"	"atoe005"	1	"mærkeligt"	"negative"	"negative"	"objects"	"negative"
"226"	"hkp003"	1	"overtro"	"negative"	"negative"	"beliefs"	"belief"
"227"	"hkp005"	1	"overtro"	"negative"	"negative"	"beliefs"	"belief"
"228"	"atoe005"	4	"overtro"	"negative"	"negative"	"beliefs"	"belief"
"229"	"sh005"	1	"overtro"	"negative"	"negative"	"beliefs"	"belief"
"230"	"sh012"	2	"overtro"	"negative"	"negative"	"beliefs"	"belief"
"231"	"hkp002"	1	"overtroisk"	"negative"	"negative"	"beliefs"	"belief"
"232"	"mgs001"	5	"platugler"	"negative"	"negative"	"concepts"	"negative"
"233"	"evj002"	5	"psykose"	"negative"	"negative"	"ritual"	"negative"
"234"	"evj002"	3	"svedlugt"	"negative"	"negative"	"objects"	"characteristics"
"235"	"mgs004"	4	"blomster"	"objects"	"objects"	"objects"	"objects"
"236"	"atoe009"	5	"drømmefangere"	"objects"	"objects"	"objects"	"objects"
"237"	"mgs012"	4	"katte"	"objects"	"objects"	"beliefs"	"objects"
"238"	"evj004"	5	"kort"	"objects"	"objects"	"individual"	"objects"
"239"	"atoe006"	1	"krystal"	"objects"	"objects"	"objects"	"objects"
"240"	"mgs010"	1	"krystal"	"objects"	"objects"	"objects"	"objects"
"241"	"evj001"	2	"krystaller"	"objects"	"objects"	"objects"	"objects"
"242"	"evj002"	2	"krystaller"	"objects"	"objects"	"objects"	"objects"
"243"	"evj005"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"244"	"atoe001"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"245"	"rse001"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"246"	"atoe005"	3	"krystaller"	"objects"	"objects"	"objects"	"objects"
"247"	"atoe007"	3	"krystaller"	"objects"	"objects"	"objects"	"objects"
"248"	"rse006"	4	"krystaller"	"objects"	"objects"	"objects"	"objects"
"249"	"atoe009"	3	"krystaller"	"objects"	"objects"	"objects"	"objects"
"250"	"atoe010"	2	"krystaller"	"objects"	"objects"	"objects"	"objects"
"251"	"atoe013"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"252"	"sh002"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"253"	"sh003"	5	"krystaller"	"objects"	"objects"	"objects"	"objects"
"254"	"sh004"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"255"	"sh011"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"256"	"sh015"	3	"krystaller"	"objects"	"objects"	"objects"	"objects"
"257"	"mgs003"	4	"krystaller"	"objects"	"objects"	"objects"	"objects"
"258"	"mgs005"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"259"	"mgs008"	3	"krystaller"	"objects"	"objects"	"objects"	"objects"
"260"	"mgs009"	4	"krystaller"	"objects"	"objects"	"objects"	"objects"
"261"	"mgs012"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"262"	"mgs013"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"263"	"mgs014"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"264"	"mgs016"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"265"	"mgs017"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"266"	"mgs019"	1	"krystaller"	"objects"	"objects"	"objects"	"objects"
"267"	"mgs021"	2	"krystaller"	"objects"	"objects"	"characteristics"	"objects"
"268"	"mgs022"	5	"krystaller"	"objects"	"objects"	"characteristics"	"objects"
"269"	"mgs020"	5	"luft"	"concepts"	"objects"	"objects"	"objects"
"270"	"rse009"	4	"lyd"	"objects"	"objects"	"concepts"	"objects"
"271"	"sh002"	5	"lys"	"objects"	"objects"	"beliefs"	"objects"
"272"	"evj004"	4	"mørke"	"concepts"	"objects"	"missing"	"objects"
"273"	"mgs014"	4	"maane"	"concepts"	"objects"	"missing"	"objects"
"274"	"hkp007"	5	"roegelse"	"objects"	"objects"	"feelings"	"objects"
"275"	"sh002"	4	"roegelse"	"objects"	"objects"	"objects"	"objects"
